line, word
0, Project
0, Gutenberg's
0, Alice's
0, Adventures
0, in
0, Wonderland,
0, by
0, Lewis
0, Carroll
1, 
2, This
2, eBook
2, is
2, for
2, the
2, use
2, of
2, anyone
2, anywhere
2, at
2, no
2, cost
2, and
2, with
3, almost
3, no
3, restrictions
3, whatsoever.
3, 
3, You
3, may
3, copy
3, it,
3, give
3, it
3, away
3, or
4, re-use
4, it
4, under
4, the
4, terms
4, of
4, the
4, Project
4, Gutenberg
4, License
4, included
5, with
5, this
5, eBook
5, or
5, online
5, at
5, www.gutenberg.org
6, 
7, 
8, Title:
8, Alice's
8, Adventures
8, in
8, Wonderland
9, 
10, Author:
10, Lewis
10, Carroll
11, 
12, Posting
12, Date:
12, June
12, 25,
12, 2008
12, [EBook
12, #11]
13, Release
13, Date:
13, March,
13, 1994
14, 
15, Language:
15, English
16, 
17, Character
17, set
17, encoding:
17, ASCII
18, 
19, ***
19, START
19, OF
19, THIS
19, PROJECT
19, GUTENBERG
19, EBOOK
19, ALICE'S
19, ADVENTURES
19, IN
19, WONDERLAND
19, ***
20, 
21, 
22, 
23, 
24, 
25, 
26, 
27, 
28, 
29, 
30, ALICE'S
30, ADVENTURES
30, IN
30, WONDERLAND
31, 
32, Lewis
32, Carroll
33, 
34, THE
34, MILLENNIUM
34, FULCRUM
34, EDITION
34, 3.0
35, 
36, 
37, 
38, 
39, CHAPTER
39, I.
39, Down
39, the
39, Rabbit-Hole
40, 
41, Alice
41, was
41, beginning
41, to
41, get
41, very
41, tired
41, of
41, sitting
41, by
41, her
41, sister
41, on
41, the
42, bank,
42, and
42, of
42, having
42, nothing
42, to
42, do:
42, once
42, or
42, twice
42, she
42, had
42, peeped
42, into
42, the
43, book
43, her
43, sister
43, was
43, reading,
43, but
43, it
43, had
43, no
43, pictures
43, or
43, conversations
43, in
44, it,
44, 'and
44, what
44, is
44, the
44, use
44, of
44, a
44, book,'
44, thought
44, Alice
44, 'without
44, pictures
44, or
45, conversation?'
46, 
47, So
47, she
47, was
47, considering
47, in
47, her
47, own
47, mind
47, (as
47, well
47, as
47, she
47, could,
47, for
47, the
48, hot
48, day
48, made
48, her
48, feel
48, very
48, sleepy
48, and
48, stupid),
48, whether
48, the
48, pleasure
49, of
49, making
49, a
49, daisy-chain
49, would
49, be
49, worth
49, the
49, trouble
49, of
49, getting
49, up
49, and
50, picking
50, the
50, daisies,
50, when
50, suddenly
50, a
50, White
50, Rabbit
50, with
50, pink
50, eyes
50, ran
51, close
51, by
51, her.
52, 
53, There
53, was
53, nothing
53, so
53, VERY
53, remarkable
53, in
53, that;
53, nor
53, did
53, Alice
53, think
53, it
53, so
54, VERY
54, much
54, out
54, of
54, the
54, way
54, to
54, hear
54, the
54, Rabbit
54, say
54, to
54, itself,
54, 'Oh
54, dear!
55, Oh
55, dear!
55, I
55, shall
55, be
55, late!'
55, (when
55, she
55, thought
55, it
55, over
55, afterwards,
55, it
56, occurred
56, to
56, her
56, that
56, she
56, ought
56, to
56, have
56, wondered
56, at
56, this,
56, but
56, at
56, the
56, time
57, it
57, all
57, seemed
57, quite
57, natural);
57, but
57, when
57, the
57, Rabbit
57, actually
57, TOOK
57, A
57, WATCH
58, OUT
58, OF
58, ITS
58, WAISTCOAT-POCKET,
58, and
58, looked
58, at
58, it,
58, and
58, then
58, hurried
58, on,
59, Alice
